FrameworkName,D_is,D_fs,D_isfs,ASA_m^2/cm^3,ASA_m^2/g,NASA_m^2/cm^3,NASA_m^2/g,Unitcell_volume,Density,AV_Volume_fraction,AV_cm^3/g,NAV_Volume_fraction,NAV_cm^3/g,n_pockets
YARGAB,10.70302,9.67182,10.70302,1524.87,1586.47,5.61714,5.84405,3472.09,0.961173,0.267055,0.277843,2.5e-05,2.60099e-05,2
WIJDAV,6.7427,5.50308,6.71088,1548.45,1070.02,0.0,0.0,2783.65,1.44712,0.147925,0.102221,0.0,0.0,0
ZnBDCdabco,9.35639,7.5759,9.11637,2281.85,2760.93,0.0,0.0,1147.61,0.82648,0.28044,0.339319,0.0,0.0,0
NIHBIQ01,5.30133,3.89271,5.30133,1372.52,829.336,0.0,0.0,1756.45,1.65496,0.0626,0.0378256,0.0,0.0,0
SADMOB,6.05305,5.8544,6.05305,1803.1,1608.2,0.0,0.0,698.94,1.12119,0.14433,0.12873,0.0,0.0,0
XIMPOA,3.66828,2.99963,3.64614,393.649,270.628,0.0,0.0,3815.13,1.45457,0.006675,0.00458897,0.0,0.0,0
MAPFIS,5.59771,4.30891,5.5706,1908.24,1788.49,0.0,0.0,3287.7,1.06696,0.10473,0.0981575,0.0,0.0,0
CAXWAB,11.48359,10.74561,11.48359,1693.66,1479.1,0.0,0.0,1330.34,1.14506,0.331675,0.289657,0.0,0.0,0
FIVYUF,4.68091,3.50866,4.67789,805.741,568.833,0.0,0.0,2799.77,1.41648,0.025805,0.0182177,0.0,0.0,0
FAYKOH,9.05094,5.94395,8.47293,2642.82,3165.55,0.0,0.0,4034.39,0.834868,0.28679,0.343515,0.0,0.0,0
AHINIP,5.10577,2.92366,4.88107,756.484,602.093,0.0,0.0,3044.76,1.25642,0.02206,0.0175578,0.0,0.0,0
IFENOY,7.29661,5.78947,7.29661,673.714,499.271,0.0,0.0,1819.76,1.34939,0.05444,0.040344,0.0,0.0,0
YUWHOO,2.93097,2.50635,2.93091,0.0,0.0,9.97826,5.93392,1202.66,1.68156,0.0,0.0,3.5e-05,2.0814e-05,2
SENWOZ,8.93321,7.13554,8.85614,2431.22,3271.88,0.0,0.0,3020.42,0.743064,0.43932,0.591227,0.0,0.0,0
ZESFUY,9.58879,8.12099,9.5611,1906.94,2202.6,0.0,0.0,997.05,0.865768,0.26717,0.308593,0.0,0.0,0
FAGREM,7.38233,6.89343,7.38233,1638.04,1117.93,0.0,0.0,3217.67,1.46524,0.173095,0.118134,0.0,0.0,0
AXUBAW,14.24572,5.52422,14.23389,1961.96,2645.14,0.0,0.0,4200.96,0.741721,0.33484,0.451437,0.0,0.0,0
MULQOA,5.82935,5.12372,5.82935,2326.88,1800.94,0.0,0.0,2674.94,1.29204,0.18912,0.146374,0.0,0.0,0
XEXLIX,7.04809,6.65056,7.03557,1453.07,1170.89,0.0,0.0,2278.31,1.241,0.13507,0.10884,0.0,0.0,0
SABVUN,7.01989,6.78077,7.01989,1898.58,1939.36,0.0,0.0,705.979,0.978971,0.184455,0.188417,0.0,0.0,0
NIKZAJ01,4.60883,3.61537,4.60883,1100.98,612.891,0.0,0.0,1618.18,1.79637,0.038375,0.0213625,0.0,0.0,0
IBICON,10.09823,9.93983,10.09823,1147.23,937.566,0.0,0.0,2870.57,1.22363,0.194865,0.159252,0.0,0.0,0
RIYDEJ,3.64809,2.52152,3.64229,0.0,0.0,408.361,314.467,1530.36,1.29858,0.0,0.0,0.005345,0.00411603,8
YECQUS02,4.04228,3.54341,4.04176,981.329,443.427,0.0,0.0,1925.19,2.21305,0.02468,0.011152,0.0,0.0,0
QOMDUS,5.73732,4.27265,5.65548,1652.63,1053.08,0.0,0.0,864.678,1.56934,0.09815,0.0625423,0.0,0.0,0
PARHAS,6.90619,6.37667,6.76731,2631.91,3769.73,0.0,0.0,1752.46,0.69817,0.23677,0.33913,0.0,0.0,0
TEBSAW,5.155,3.9441,5.14164,1865.4,1522.67,0.0,0.0,2510.7,1.22508,0.079155,0.0646118,0.0,0.0,0
WEMNAF,4.6267,3.86158,4.6267,1283.25,904.777,17.9895,12.6838,1249.15,1.41831,0.05081,0.0358243,2e-05,1.41013e-05,2
KANDEK,4.89293,3.30398,4.89293,969.146,710.568,51.8132,37.9889,1770.91,1.3639,0.03853,0.0282498,0.00049,0.000359263,1
TECTUS,5.15619,3.5989,5.14062,1664.18,1478.88,0.0,0.0,1577.38,1.12529,0.07951,0.0706572,0.0,0.0,0
XUNJEW,7.72147,4.21232,7.45914,1685.63,1250.09,0.0,0.0,5132.25,1.34841,0.12327,0.091419,0.0,0.0,0
AMIMEP,11.21563,10.87494,11.21563,1423.96,1444.2,5.8464,5.92952,4711.05,0.985981,0.2429,0.246354,3.5e-05,3.54976e-05,4
LAWGEW,15.06245,7.93691,15.06245,2232.99,3773.96,0.0,0.0,4321.43,0.591684,0.50171,0.847935,0.0,0.0,0
ULUVUT,5.1427,4.75944,5.13746,2423.52,2108.87,0.0,0.0,674.83,1.14921,0.13543,0.117847,0.0,0.0,0
XOHLEM01,5.52611,4.54089,5.51535,2609.62,1948.93,0.0,0.0,1715.83,1.339,0.133855,0.0999663,0.0,0.0,0
ZEDHIB,4.96253,3.33867,4.45559,1272.59,927.427,0.0,0.0,3599.71,1.37217,0.04588,0.0334361,0.0,0.0,0
REGQUR,6.3736,5.47534,6.06532,2740.69,2654.19,0.0,0.0,5377.89,1.03259,0.232065,0.224741,0.0,0.0,0
WENDIE,4.91533,3.83478,4.91533,1393.01,988.169,0.0,0.0,1194.61,1.40969,0.062555,0.0443751,0.0,0.0,0
FEFCUQ,8.87571,6.35025,8.74283,2275.01,2924.33,0.0,0.0,3275.98,0.77796,0.287435,0.369473,0.0,0.0,0
DAXGUG,4.36758,2.49532,4.36758,0.0,0.0,1317.57,1058.75,973.018,1.24446,0.0,0.0,0.04554,0.0365943,1
XILDUT,5.33112,3.97403,5.33043,1690.32,1274.96,0.0,0.0,2816.83,1.32579,0.10141,0.0764905,0.0,0.0,0
QUFFED,3.5402,2.92014,3.47345,342.709,222.19,13.4119,8.69538,1397.97,1.54242,0.00375,0.00243125,2.5e-05,1.62083e-05,2
XAJQAC,8.58743,7.41664,8.58347,2443.05,2760.25,0.0,0.0,3528.22,0.885082,0.223605,0.252638,0.0,0.0,0
NIHBEM,4.82471,3.66332,4.81898,1156.24,655.492,0.0,0.0,1647.94,1.76393,0.043785,0.0248224,0.0,0.0,0
ATAFIK,6.40025,5.70377,6.3929,2479.52,2040.63,0.0,0.0,4164.32,1.21508,0.20286,0.166952,0.0,0.0,0
CUNXIS,4.73091,2.77205,4.5381,0.0,0.0,1062.75,557.905,1331.49,1.90489,0.0,0.0,0.037685,0.0197833,2
NISCOJ,4.58385,2.97979,4.55532,1031.11,868.208,0.0,0.0,2784.26,1.18763,0.03184,0.0268098,0.0,0.0,0
IXUREZ,5.49131,3.77257,5.49131,1865.01,1594.86,0.0,0.0,3664.92,1.16939,0.0922,0.0788446,0.0,0.0,0
OJIWIO,4.64307,3.99735,4.61496,1172.08,878.791,0.0,0.0,2189.73,1.33375,0.047815,0.0358502,0.0,0.0,0
YAXBOP,6.02704,5.79348,6.02704,1817.26,1615.1,0.0,0.0,696.466,1.12517,0.143085,0.127168,0.0,0.0,0
OGAGAF,4.92581,3.9125,4.92581,1175.56,836.419,0.0,0.0,2311.03,1.40546,0.054115,0.0385033,0.0,0.0,0
BEPPAP,9.9082,9.78954,9.90791,1273.25,1234.1,0.0,0.0,2704.32,1.03173,0.206645,0.20029,0.0,0.0,0
BEGBOG,4.23611,2.57051,4.10647,0.0,0.0,778.192,797.313,1361.91,0.976018,0.0,0.0,0.017265,0.0176892,8
NIKYOW,4.56807,3.54686,4.56807,1065.84,591.406,0.0,0.0,1612.94,1.80221,0.03601,0.0199811,0.0,0.0,0
GUYLOC,6.83776,5.60205,6.83653,2031.02,1903.11,0.0,0.0,2463.11,1.06721,0.16538,0.154965,0.0,0.0,0
POJTUE,2.98206,2.71894,2.98206,0.0,0.0,30.3083,19.0824,1973.55,1.58829,0.0,0.0,6.5e-05,4.09246e-05,12
KENJEU,6.20715,3.67471,6.20272,1225.55,1038.39,64.5661,54.706,6129.27,1.18024,0.076245,0.0646013,0.00076,0.000643938,4
SARNOQ,9.2766,6.16862,9.2766,2184.56,1971.15,0.0,0.0,2413.97,1.10826,0.22769,0.205447,0.0,0.0,0
BUVXOG,6.82532,5.20994,6.82532,919.202,725.24,0.0,0.0,1966.43,1.26745,0.07085,0.0558998,0.0,0.0,0
XAXQEU,4.2322,3.21043,4.22385,872.408,506.982,0.0,0.0,580.886,1.72079,0.02274,0.0132149,0.0,0.0,0
EGELUY,7.34075,6.87675,7.34075,1962.13,2066.96,0.0,0.0,1454.36,0.949281,0.200565,0.211281,0.0,0.0,0
LIDZUV,5.12552,3.77339,5.06598,673.674,435.426,0.0,0.0,1478.36,1.54716,0.03014,0.0194808,0.0,0.0,0
BIBBUL,3.85878,3.31702,3.85878,539.425,408.534,16.1253,12.2125,2645.43,1.32039,0.010765,0.00815287,9e-05,6.81615e-05,4
OFUYUL,6.60027,4.21601,6.30771,2305.29,2124.53,0.0,0.0,2993.3,1.08508,0.15616,0.143915,0.0,0.0,0
TEVZOK,4.56897,3.54471,4.54551,1055.75,533.471,0.0,0.0,1564.94,1.97903,0.034655,0.0175111,0.0,0.0,0
UBACOR,5.7806,3.33609,5.7806,1297.54,962.226,0.0,0.0,3020.34,1.34848,0.07142,0.0529633,0.0,0.0,0
HIWXER01,3.24098,2.75057,3.24098,0.0,0.0,310.624,123.328,911.288,2.51869,0.0,0.0,0.00217,0.000861559,6
DOGZIJ,5.26678,3.36062,5.26678,1138.54,942.883,0.0,0.0,1036.08,1.20751,0.05956,0.0493247,0.0,0.0,0
FIRVEH,4.11749,3.26577,4.11749,1230.03,865.98,0.0,0.0,711.35,1.42039,0.029655,0.0208781,0.0,0.0,0
BEPMIU,10.07029,9.95474,10.07029,1269.62,1242.9,0.62255,0.609451,2731.41,1.02149,0.21074,0.206306,0.0,0.0,6
AVIMOI,5.73292,4.38571,5.54624,1589.95,1296.69,0.0,0.0,3625.33,1.22616,0.083275,0.0679155,0.0,0.0,0
ESEVIH,6.88268,6.30555,6.87572,1452.47,957.934,16.3507,10.7836,3109.42,1.51625,0.14846,0.0979125,7.5e-05,4.94641e-05,2
